23/10/22
(1, '18/10/22', 'Tienda01', 1500.0, 1000.0, 2500.0)

(2, '19/10/22', 'Tienda02', 2500.0, 1000.0, 3500.0)

(3, '22/10/22', 'Tienda01', 1000.0, 200.0, 1200.0)

(4, '22/10/22', 'Tienda02', 1500.0, 250.0, 1750.0)

(5, '22/10/22', 'Tienda03', 3500.0, 250.0, 3750.0)

(9, '22/10/22', 'Tienda01', 32121121.0, 0.0, 32121121.0)

(10, '22/10/22', 'Tienda02', 0.0, 0.0, 0.0)

(11, '22/10/22', 'Tienda03', 0.0, 0.0, 0.0)

(12, '18/10/22', 'Tienda01', 1500.0, 1000.0, 2500.0)

(13, '19/10/22', 'Tienda02', 2500.0, 1000.0, 3500.0)

(14, '18/10/22', 'Tienda01', 1500.0, 1000.0, 2500.0)

(15, '19/10/22', 'Tienda02', 2500.0, 1000.0, 3500.0)
